"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 25 11:36:47 UTC 2021","Fri Jun 25 11:37:36 UTC 2021","48758","e2e.interOp.iOS.AccessPointConnection","test_AccessPointConnection","TestAccessPointConnectivety","","","test_AccessPointConnection_2g_WPA",""
"passed","Fri Jun 25 11:32:36 UTC 2021","Fri Jun 25 11:34:35 UTC 2021","118565","e2e.interOp.android.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_2g_WPA[setup_profiles0]",""
"broken","Fri Jun 25 11:38:18 UTC 2021","Fri Jun 25 11:38:18 UTC 2021","0","e2e.interOp.iOS.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_2g_WPA[setup_profiles0]",""
"broken","Fri Jun 25 11:38:19 UTC 2021","Fri Jun 25 11:38:19 UTC 2021","0","e2e.interOp.iOS.client_connectivity","test_NatMode","TestNatMode","","","test_ClientConnectivity_2g_WPA[setup_profiles0]",""
"broken","Fri Jun 25 11:35:23 UTC 2021","Fri Jun 25 11:35:23 UTC 2021","0","e2e.interOp.android.client_connectivity","test_NatMode","TestNatMode","","","test_ClientConnectivity_2g_WPA[setup_profiles0]",""
"passed","Fri Jun 25 11:24:30 UTC 2021","Fri Jun 25 11:25:57 UTC 2021","87003","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode","TestToggleAirplaneModeAndroid","","","test_ToogleAirplaneMode_2g_WPA[setup_profiles0]",""
"passed","Fri Jun 25 11:27:44 UTC 2021","Fri Jun 25 11:31:02 UTC 2021","197580","e2e.interOp.android.PassPointConnection","test_PassPointConnection","TestPassPointConnection","","","test_PassPointConnection_2g_WPA[setup_profiles0]",""
"passed","Fri Jun 25 11:19:45 UTC 2021","Fri Jun 25 11:22:39 UTC 2021","173903","e2e.interOp.android.AccessPointConnection","test_AccessPointConnection","TestAcessPointConnection","","","test_AccessPointConnection_2g_WPA[setup_profiles0]",""
"broken","Fri Jun 25 11:38:15 UTC 2021","Fri Jun 25 11:38:15 UTC 2021","0","e2e.interOp.iOS.AirplaneMode","test_ToggleAirplaneMode","TestToggleAirplaneMode","","","test_ToogleAirplaneMode_2g_WPA[setup_profiles0]",""
"broken","Fri Jun 25 11:38:16 UTC 2021","Fri Jun 25 11:38:16 UTC 2021","0","e2e.interOp.iOS.PassPoint","test_PassPointConnection","TestPassPointConnection","","","test_PassPointConnection_2g_WPA[setup_profiles0]",""
