"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","BRIDGE MODE CLIENT CONNECTIVITY","","0","72","0","0","0"
"","BRIDGE MODE CLIENT CONNECT","","0","30","0","0","0"
"","VLAN MODE CLIENT CONNECT","","0","36","0","0","0"
"","NAT MODE CLIENT CONNECTIVITY","","0","79","0","0","0"
"","","","0","52","0","0","0"
"","NAT MODE CLIENT CONNECTIVITY","open 2.4 GHZ Band","0","2","0","0","0"
"","NAT MODE CLIENT CONNECT","","0","24","0","0","0"
"","NAT MODE CLIENT CONNECTIVITY","wpa wpa2 personal mixed 2.4 GHZ Band","0","1","0","0","0"
"","BRIDGE MODE CLIENT CONNECT","wpa wpa2 personal mixed 2.4 GHZ Band","0","1","0","0","0"
"","Vlan MODE CLIENT CONNECTIVITY","","0","6","0","0","0"
"","BRIDGE MODE CLIENT CONNECT","wpa wpa2 personal mixed 5 GHZ Band","0","1","0","0","0"
"","BRIDGE MODE CLIENT CONNECT","open 5 GHZ Band","0","2","0","0","0"
"","BRIDGE MODE CLIENT CONNECT","open 2.4 GHZ Band","0","2","0","0","0"
"","NAT MODE CLIENT CONNECTIVITY","open 5 GHZ Band","0","2","0","0","0"
"","NAT MODE CLIENT CONNECTIVITY","wpa wpa2 personal mixed 5 GHZ Band","0","1","0","0","0"
"","VLAN MODE CLIENT CONNECTIVITY","","0","6","0","0","0"
