"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 06 23:40:30 UTC 2021","Mon Dec 06 23:43:01 UTC 2021","151260","e2e.interOp.validation_of_operating_modes.vlan_mode.client_connect_test.android","interop sanity","Vlan Mode Client Connect : Suite-B","","","test_ClientConnect_5g_wpa3_personal_mixed_Vlan[setup_profiles0]",""
"passed","Mon Dec 06 23:43:55 UTC 2021","Mon Dec 06 23:46:22 UTC 2021","147229","e2e.interOp.validation_of_operating_modes.vlan_mode.client_connect_test.android","interop sanity","Vlan Mode Client Connect : Suite-B","","","test_ClientConnect_2g_wpa3_personal_mixed_Vlan[setup_profiles0]",""
"passed","Mon Dec 06 20:58:37 UTC 2021","Mon Dec 06 21:00:59 UTC 2021","142702","e2e.interOp.validation_of_operating_modes.bridge_mode.client_connect_test.android","interop sanity","Bridge Mode EAP Client Connect : Suite-A","","","test_ClientConnect_2g_WPA_enterprise_Bridge[setup_profiles0]",""
"passed","Mon Dec 06 23:10:00 UTC 2021","Mon Dec 06 23:12:25 UTC 2021","145099","e2e.interOp.validation_of_operating_modes.vlan_mode.client_connect_test.android","interop sanity","Vlan Mode EAP Client Connect : Suite-A","","","test_ClientConnect_2g_WPA_enterprise_Vlan[setup_profiles0]",""
"passed","Mon Dec 06 21:51:44 UTC 2021","Mon Dec 06 21:54:07 UTC 2021","142726","e2e.interOp.validation_of_operating_modes.nat_mode.client_connect_test.android","interop sanity","Nat Mode EAP Client Connectivity : Suite-A","","","test_ClientConnect_2g_WPA2_enterprise_Nat[setup_profiles0]",""
"passed","Mon Dec 06 23:37:07 UTC 2021","Mon Dec 06 23:39:36 UTC 2021","149214","e2e.interOp.validation_of_operating_modes.vlan_mode.client_connect_test.android","interop sanity","Vlan Mode Client Connect : Suite-B","","","test_ClientConnect_2g_wpa3_personal_Vlan[setup_profiles0]",""
"passed","Mon Dec 06 22:48:40 UTC 2021","Mon Dec 06 22:51:05 UTC 2021","144569","e2e.interOp.validation_of_operating_modes.nat_mode.client_connect_test.android","interop sanity","NAT Mode Client Connect : Suite-B","","","test_ClientConnect_2g_wpa_wpa2_personal_mixed_Nat[setup_profiles0]",""
"passed","Mon Dec 06 22:01:23 UTC 2021","Mon Dec 06 22:03:49 UTC 2021","146153","e2e.interOp.validation_of_operating_modes.nat_mode.client_connect_test.android","interop sanity","Nat Mode EAP Client Connectivity : Suite-A","","","test_ClientConnect_5g_WPA_enterprise_Nat[setup_profiles0]",""
"passed","Mon Dec 06 20:55:28 UTC 2021","Mon Dec 06 20:57:52 UTC 2021","143694","e2e.interOp.validation_of_operating_modes.bridge_mode.client_connect_test.android","interop sanity","Bridge Mode EAP Client Connect : Suite-A","","","test_ClientConnect_5g_WPA_enterprise_Bridge[setup_profiles0]",""
"passed","Mon Dec 06 22:09:51 UTC 2021","Mon Dec 06 22:12:18 UTC 2021","146574","e2e.interOp.validation_of_operating_modes.nat_mode.client_connect_test.android","interop sanity","Nat Mode Client Connect : Suite-A","","","test_ClientConnect_5g_WPA2_Personal_Nat[setup_profiles0]",""
"passed","Mon Dec 06 21:32:42 UTC 2021","Mon Dec 06 21:35:09 UTC 2021","147062","e2e.interOp.validation_of_operating_modes.bridge_mode.client_connect_test.android","interop sanity","Bridge Mode Client Connect : Suite-B","","","test_ClientConnect_5g_wpa3_personal_mixed_Bridge[setup_profiles0]",""
"passed","Mon Dec 06 22:31:47 UTC 2021","Mon Dec 06 22:34:12 UTC 2021","145077","e2e.interOp.validation_of_operating_modes.nat_mode.client_connect_test.android","interop sanity","NAT Mode Client Connect : Suite-B","","","test_ClientConnect_5g_wpa3_personal_Nat[setup_profiles0]",""
"passed","Mon Dec 06 20:52:20 UTC 2021","Mon Dec 06 20:54:44 UTC 2021","143745","e2e.interOp.validation_of_operating_modes.bridge_mode.client_connect_test.android","interop sanity","Bridge Mode EAP Client Connect : Suite-A","","","test_ClientConnect_2g_WPA3_enterprise_Bridge[setup_profiles0]",""
"passed","Mon Dec 06 23:47:20 UTC 2021","Mon Dec 06 23:49:48 UTC 2021","148182","e2e.interOp.validation_of_operating_modes.vlan_mode.client_connect_test.android","interop sanity","Vlan Mode Client Connect : Suite-B","","","test_ClientConnect_5g_wpa_wpa2_personal_mixed_Vlan[setup_profiles0]",""
"passed","Mon Dec 06 23:50:45 UTC 2021","Mon Dec 06 23:53:14 UTC 2021","148680","e2e.interOp.validation_of_operating_modes.vlan_mode.client_connect_test.android","interop sanity","Vlan Mode Client Connect : Suite-B","","","test_ClientConnect_2g_wpa_wpa2_personal_mixed_Vlan[setup_profiles0]",""
"passed","Mon Dec 06 23:00:16 UTC 2021","Mon Dec 06 23:02:41 UTC 2021","144563","e2e.interOp.validation_of_operating_modes.vlan_mode.client_connect_test.android","interop sanity","Vlan Mode EAP Client Connect : Suite-A","","","test_ClientConnect_5g_WPA3_enterprise_Vlan[setup_profiles0]",""
"passed","Mon Dec 06 23:33:43 UTC 2021","Mon Dec 06 23:36:14 UTC 2021","150631","e2e.interOp.validation_of_operating_modes.vlan_mode.client_connect_test.android","interop sanity","Vlan Mode Client Connect : Suite-B","","","test_ClientConnect_5g_wpa3_personal_Vlan[setup_profiles0]",""
"passed","Mon Dec 06 22:23:08 UTC 2021","Mon Dec 06 22:25:38 UTC 2021","149498","e2e.interOp.validation_of_operating_modes.nat_mode.client_connect_test.android","interop sanity","Nat Mode Client Connect : Suite-A","","","test_ClientConnect_5g_Open_Nat[setup_profiles0]",""
"passed","Mon Dec 06 22:16:29 UTC 2021","Mon Dec 06 22:18:55 UTC 2021","145890","e2e.interOp.validation_of_operating_modes.nat_mode.client_connect_test.android","interop sanity","Nat Mode Client Connect : Suite-A","","","test_ClientConnect_5g_WPA_Personal_Nat[setup_profiles0]",""
"passed","Mon Dec 06 21:10:25 UTC 2021","Mon Dec 06 21:12:48 UTC 2021","143584","e2e.interOp.validation_of_operating_modes.bridge_mode.client_connect_test.android","interop sanity","Bridge Mode Client Connect : Suite-A","","","test_ClientConnect_5g_WPA_Personal_Bridge[setup_profiles0]",""
"passed","Mon Dec 06 22:45:20 UTC 2021","Mon Dec 06 22:47:47 UTC 2021","146756","e2e.interOp.validation_of_operating_modes.nat_mode.client_connect_test.android","interop sanity","NAT Mode Client Connect : Suite-B","","","test_ClientConnect_5g_wpa_wpa2_personal_mixed_Nat[setup_profiles0]",""
"passed","Mon Dec 06 22:26:31 UTC 2021","Mon Dec 06 22:28:59 UTC 2021","147383","e2e.interOp.validation_of_operating_modes.nat_mode.client_connect_test.android","interop sanity","Nat Mode Client Connect : Suite-A","","","test_ClientConnect_2g_Open_Nat[setup_profiles0]",""
"failed","Mon Dec 06 23:20:40 UTC 2021","Mon Dec 06 23:21:59 UTC 2021","79013","e2e.interOp.validation_of_operating_modes.vlan_mode.client_connect_test.android","interop sanity","Vlan Mode Client Connect : Suite-A","","","test_ClientConnect_5g_WPA_Vlan[setup_profiles0]",""
"failed","Mon Dec 06 23:15:07 UTC 2021","Mon Dec 06 23:16:26 UTC 2021","78912","e2e.interOp.validation_of_operating_modes.vlan_mode.client_connect_test.android","interop sanity","Vlan Mode Client Connect : Suite-A","","","test_ClientConnect_5g_WPA2_Personal_Vlan[setup_profiles0]",""
"passed","Mon Dec 06 21:25:56 UTC 2021","Mon Dec 06 21:28:23 UTC 2021","147087","e2e.interOp.validation_of_operating_modes.bridge_mode.client_connect_test.android","interop sanity","Bridge Mode Client Connect : Suite-B","","","test_ClientConnect_5g_wpa3_personal_Bridge[setup_profiles0]",""
"passed","Mon Dec 06 21:58:12 UTC 2021","Mon Dec 06 22:00:35 UTC 2021","143322","e2e.interOp.validation_of_operating_modes.nat_mode.client_connect_test.android","interop sanity","Nat Mode EAP Client Connectivity : Suite-A","","","test_ClientConnect_2g_WPA3_enterprise_Nat[setup_profiles0]",""
"passed","Mon Dec 06 21:29:21 UTC 2021","Mon Dec 06 21:31:47 UTC 2021","146593","e2e.interOp.validation_of_operating_modes.bridge_mode.client_connect_test.android","interop sanity","Bridge Mode Client Connect : Suite-B","","","test_ClientConnect_2g_wpa3_personal_Bridge[setup_profiles0]",""
"passed","Mon Dec 06 23:03:34 UTC 2021","Mon Dec 06 23:05:59 UTC 2021","145571","e2e.interOp.validation_of_operating_modes.vlan_mode.client_connect_test.android","interop sanity","Vlan Mode EAP Client Connect : Suite-A","","","test_ClientConnect_2g_WPA3_enterprise_Vlan[setup_profiles0]",""
"passed","Mon Dec 06 21:13:46 UTC 2021","Mon Dec 06 21:16:14 UTC 2021","148579","e2e.interOp.validation_of_operating_modes.bridge_mode.client_connect_test.android","interop sanity","Bridge Mode Client Connect : Suite-A","","","test_ClientConnect_2g_WPA_Personal_Bridge[setup_profiles0]",""
"passed","Mon Dec 06 21:06:59 UTC 2021","Mon Dec 06 21:09:27 UTC 2021","148359","e2e.interOp.validation_of_operating_modes.bridge_mode.client_connect_test.android","interop sanity","Bridge Mode Client Connect : Suite-A","","","test_ClientConnect_2g_WPA2_Personal_Bridge[setup_profiles0]",""
"passed","Mon Dec 06 21:20:38 UTC 2021","Mon Dec 06 21:23:07 UTC 2021","149100","e2e.interOp.validation_of_operating_modes.bridge_mode.client_connect_test.android","interop sanity","Bridge Mode Client Connect : Suite-A","","","test_ClientConnect_2g_Open_Bridge[setup_profiles0]",""
