"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 17 01:57:49 UTC 2021","Thu Jun 17 01:59:10 UTC 2021","80806","e2e.basic.validation_of_operating_modes.nat_mode.client_connectivity","test_general_security_modes","TestNATModeConnectivitySuiteA","","","test_wpa2_personal_ssid_5g[setup_profiles0]","Client Connectivity wpa2_personal ssid 5G
           pytest -m ""client_connectivity and bridge and general and wpa2_personal and fiveg""
        "
"passed","Thu Jun 17 00:30:30 UTC 2021","Thu Jun 17 00:30:30 UTC 2021","1","e2e.basic","test_firmware","TestFirmware","","","test_firmware_create",""
"skipped","Thu Jun 17 01:27:44 UTC 2021","Thu Jun 17 01:27:44 UTC 2021","0","e2e.basic.validation_of_operating_modes.bridge_mode.client_connectivity","test_enterprise_ttls","TestBridgeModeEnterpriseTTLSSuiteA","","","test_wpa3_enterprise_5g[setup_profiles0]"," wpa enterprise 2g
            pytest -m ""client_connectivity and bridge and enterprise and ttls and wpa3_enterprise and fiveg""
        "
"passed","Thu Jun 17 00:49:19 UTC 2021","Thu Jun 17 00:49:19 UTC 2021","1","e2e.basic.configuration_tests.nat_mode","test_enterprise_security_modes_configuration","TestSetupNATEnterpriseSuiteA","","","test_verify_vif_config[setup_profiles0]"," VIF Config Suite A Enterprise "
"failed","Thu Jun 17 01:24:21 UTC 2021","Thu Jun 17 01:27:43 UTC 2021","202193","e2e.basic.validation_of_operating_modes.bridge_mode.client_connectivity","test_enterprise_ttls","TestBridgeModeEnterpriseTTLSSuiteA","","","test_wpa_enterprise_2g[setup_profiles0]"," wpa enterprise 2g
            pytest -m ""client_connectivity and bridge and enterprise and ttls and wpa_enterprise and twog""
        "
"passed","Thu Jun 17 00:40:09 UTC 2021","Thu Jun 17 00:40:09 UTC 2021","0","e2e.basic.configuration_tests.bridge_mode","test_general_security_modes_configuration","TestSetupBridgeSuiteA","","","test_setup_open_2g_ssid_profile[setup_profiles0]"," SSID Profile Creation open 2.4G
            pytest -m ""setup and bridge and general and suiteA and open and twog""
        "
"passed","Thu Jun 17 01:02:44 UTC 2021","Thu Jun 17 01:02:44 UTC 2021","0","e2e.basic.configuration_tests.nat_mode","test_general_security_modes_configuration","TestNATModeConnectivitySuiteB","","","test_verify_vif_config[setup_profiles0]"," vif config Suite B "
"passed","Thu Jun 17 01:15:52 UTC 2021","Thu Jun 17 01:15:52 UTC 2021","0","e2e.basic.configuration_tests.vlan_mode","test_general_security_modes_configuration","TestSetupVLANSuiteA","","","test_setup_wpa_5g_ssid_profile[setup_profiles0]"," SSID Profile Creation wpa 5G
            pytest -m ""setup and vlan and general and suiteA and wpa and fiveg""
        "
"broken","Thu Jun 17 01:59:34 UTC 2021","Thu Jun 17 01:59:34 UTC 2021","0","e2e.basic.validation_of_operating_modes.vlan_mode.client_connectivity","test_general_security_modes","TestvlanModeConnectivitySuiteTwo","","","test_wpa3_personal_ssid_5g[setup_profiles0]","Client Connectivity open ssid 2.4G
           pytest -m ""client_connectivity and vlan and general and wpa3_personal and fiveg""
        "
"passed","Thu Jun 17 00:30:29 UTC 2021","Thu Jun 17 00:30:29 UTC 2021","30","controller_tests","test_api_login","","","","test_cloud_sdk_version",""
"passed","Thu Jun 17 00:45:12 UTC 2021","Thu Jun 17 00:45:12 UTC 2021","0","e2e.basic.configuration_tests.bridge_mode","test_general_security_modes_configuration","TestBridgeModeConnectivitySuiteB","","","test_setup_wpa3_personal_mixed_2g_ssid_profile[setup_profiles0]"," SSID Profile Creation wpa3_personal_mixed 2.4G
            pytest -m ""setup and bridge and general and suiteB and wpa3_personal_mixed and twog""
         "
"passed","Thu Jun 17 00:45:12 UTC 2021","Thu Jun 17 00:45:12 UTC 2021","1","e2e.basic.configuration_tests.bridge_mode","test_general_security_modes_configuration","TestBridgeModeConnectivitySuiteB","","","test_setup_wpa3_personal_mixed_5g_ssid_profile[setup_profiles0]"," SSID Profile Creation wpa3_personal_mixed 5G
            pytest -m ""setup and bridge and general and suiteB and wpa3_personal_mixed and fiveg""

         "
"broken","Thu Jun 17 01:59:23 UTC 2021","Thu Jun 17 01:59:23 UTC 2021","0","e2e.basic.validation_of_operating_modes.vlan_mode.client_connectivity","test_enterprise_ttls","TestVLANModeEnterpriseTTLSSuiteTwo","","","test_wpa3_enterprise_mixed_2g[setup_profiles0]",""
"passed","Thu Jun 17 00:45:12 UTC 2021","Thu Jun 17 00:45:12 UTC 2021","0","e2e.basic.configuration_tests.bridge_mode","test_general_security_modes_configuration","TestBridgeModeConnectivitySuiteB","","","test_setup_wpa_wpa2_personal_mixed_2g_ssid_profile[setup_profiles0]"," SSID Profile Creation wpa_wpa2_personal_mixed 2.4G
            pytest -m ""setup and bridge and general and suiteB and wpa_wpa2_personal_mixed and twog""

        "
