"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","vlan MODE CLIENT CONNECTIVITY","wpa 2.4 GHZ Band","0","0","1","0","0"
"","bridge MODE CLIENT CONNECTIVITY","open 2.4 GHZ Band","0","0","1","0","0"
"","","","0","0","38","0","0"
"","VLAN MODE ENTERPRISE SETUP","","0","0","16","0","0"
"","bridge MODE CLIENT CONNECTIVITY","wpa 2.4 GHZ Band","0","0","1","0","0"
"","BRIDGE MODE ENTERPRISE SETUP","","0","0","16","0","0"
"","NAT MODE ENTERPRISE SETUP","","0","0","16","0","0"
"","BRIDGE MODE CLIENT CONNECTIVITY","","0","0","9","0","0"
"","VLAN MODE CLIENT CONNECTIVITY","","0","0","9","0","0"
"","NAT MODE CLIENT CONNECTIVITY","","0","0","9","0","0"
"","BRIDGE MODE CLIENT CONNECTIVITY","open 5 GHZ Band","0","0","4","0","0"
"","vlan MODE CLIENT CONNECTIVITY","open 2.4 GHZ Band","0","0","3","0","0"
"","BRIDGE MODE CLIENT CONNECTIVITY","open 2.4 GHZ Band","0","0","4","0","0"
"","vlan MODE CLIENT CONNECTIVITY","open 5 GHZ Band","0","0","3","0","0"
"","VLAN MODE SETUP","","0","0","9","0","0"
"","NAT MODE SETUP","","0","0","9","0","0"
"","BRIDGE MODE CLIENT CONNECTIVITY","wpa wpa2 personal mixed 5 GHZ Band","0","0","2","0","0"
"","BRIDGE MODE CLIENT CONNECTIVITY","wpa wpa2 personal mixed 2.4 GHZ Band","0","0","2","0","0"
"","BRIDGE MODE SETUP","","0","0","9","0","0"
"","vlan MODE CLIENT CONNECTIVITY","wpa2_personal 2.4 GHZ Band","0","0","1","0","0"
"","bridge MODE CLIENT CONNECTIVITY","wpa2_personal 5 GHZ Band","0","0","1","0","0"
"","vlan MODE CLIENT CONNECTIVITY","wpa wpa2 personal mixed 5 GHZ Band","0","0","1","0","0"
"","bridge MODE CLIENT CONNECTIVITY","open 5 GHZ Band","0","0","1","0","0"
"","vlan MODE CLIENT CONNECTIVITY","wpa 5 GHZ Band","0","0","1","0","0"
"","vlan MODE CLIENT CONNECTIVITY","wpa2_personal 5 GHZ Band","0","0","1","0","0"
"","NAT MODE CLIENT CONNECTIVITY","wpa2_personal 2.4 GHZ Band","0","0","1","0","0"
"","NAT MODE CLIENT CONNECTIVITY","wpa 5 GHZ Band","0","0","1","0","0"
"","NAT MODE CLIENT CONNECTIVITY","open 2.4 GHZ Band","0","0","1","0","0"
"","vlan MODE CLIENT CONNECTIVITY","wpa wpa2 personal mixed 2.4 GHZ Band","0","0","1","0","0"
"","NAT MODE CLIENT CONNECTIVITY","open 5 GHZ Band","0","0","1","0","0"
"","bridge MODE CLIENT CONNECTIVITY","wpa2_personal 2.4 GHZ Band","0","0","1","0","0"
"","bridge MODE CLIENT CONNECTIVITY","wpa 5 GHZ Band","0","0","1","0","0"
"","NAT MODE CLIENT CONNECTIVITY","wpa2_personal 5 GHZ Band","0","0","1","0","0"
"","NAT MODE CLIENT CONNECTIVITY","wpa 2.4 GHZ Band","0","0","1","0","0"
